experiment_id	primary_score	accepted	reason	timestamp	git_hash	max_error_rate	max_error_temp	num_epochs	num_params	rmse_rate	rmse_rate_norm	rmse_temp	rmse_temp_norm	total_seconds	training_seconds
2	0.335141	True	GELU activation	2026-03-22T19:37:33+01:00	7bd9ddcb	0.132818	1.675476	3439	5058	0.043942	0.223715	0.621319	0.111426	90.84	90.016
3	0.310652	True	feature engineering interactions	2026-03-22T19:42:58+01:00	d64c1228	0.12616	2.024422	3490	5378	0.039967	0.203476	0.597618	0.107176	90.927	90.017
5	0.293684	True	skip connection architecture	2026-03-22T19:53:36+01:00	820abedf	0.118967	1.924088	3305	5410	0.03655	0.18608	0.600005	0.107604	90.838	90.014
10	0.282137	True	hidden_size=96	2026-03-22T20:20:19+01:00	2e6c22fa	0.121823	1.882088	2989	11170	0.035254	0.179482	0.572408	0.102655	90.87	90.005
15	0.260755	True	ensemble of 5 models	2026-03-22T20:47:08+01:00	e82603ee	0.09332	1.571846	3013	11170	0.032316	0.164527	0.536569	0.096228	90.927	90.925
16	0.255582	True	ensemble of 8 models	2026-03-22T20:52:22+01:00	c7853c37	0.095957	1.566948	2985	11170	0.031529	0.160518	0.540304	0.096897	90.951	90.948
17	0.254078	True	ensemble of 12 models	2026-03-22T20:57:34+01:00	89d05027	0.115136	1.655434	2967	11170	0.03698	0.18827	0.545809	0.097885	91.088	91.085
18	0.252985	True	ensemble of 16 models	2026-03-22T21:02:46+01:00	bea62caa	0.132964	1.619659	2977	11170	0.042181	0.21475	0.579442	0.103916	91.069	91.066
19	0.252439	True	ensemble of 20 models	2026-03-22T21:07:59+01:00	cf08e99f	0.142984	1.818161	2992	11170	0.045254	0.230393	0.6624	0.118794	91.276	91.273
20	0.244831	True	LR=5e-3 ensemble=8	2026-03-22T21:13:17+01:00	3b3d79ce	0.090108	1.488708	3016	11170	0.031093	0.158298	0.554123	0.099376	91.003	91
29	0.240866	True	BatchNorm in skip net	2026-03-22T22:01:06+01:00	412932fe	0.118023	1.613266	2037	11554	0.033506	0.170584	0.542173	0.097233	91.046	91.044
31	0.228811	True	ensemble=10 BatchNorm	2026-03-22T22:11:42+01:00	9b2403d7	0.109609	1.760475	2001	11554	0.039941	0.203344	0.575615	0.10323	91.218	91.215
39	0.227476	True	remove wall_x_h feature	2026-03-22T22:54:13+01:00	053f8cc2	0.092603	1.838539	1991	11456	0.040656	0.206987	0.587669	0.105392	91.104	91.101
40	0.225714	True	remove et_sq feature	2026-03-22T22:59:34+01:00	d408ad0b	0.106283	1.71019	1993	11358	0.029668	0.151045	0.548939	0.098446	91.186	91.184
43	0.217484	True	add log_cond feature	2026-03-22T23:21:54+01:00	d3c717af	0.086661	1.474052	2020	11456	0.026448	0.134648	0.537341	0.096366	91.123	91.12
44	0.214319	True	add log_stv feature	2026-03-22T23:27:59+01:00	03a37fdc	0.085394	1.66449	2005	11554	0.025065	0.127609	0.575573	0.103223	91.085	91.082
46	0.214125	True	drop can_inner_diameter	2026-03-22T23:38:49+01:00	97706384	0.09916	1.565636	2024	11554	0.026618	0.135516	0.571096	0.10242	91.117	91.114
53	0.198306	True	add log(porosity) Bruggeman feature	2026-03-23T00:17:44+01:00	4c2af6c8	0.105929	1.772575	2016	11652	0.030277	0.154143	0.555214	0.099571	91.197	91.194
75	0.192059	True	add log(cond/diff) ratio feature	2026-03-23T02:19:09+01:00	60c388f1	0.065794	1.490807	2025	11750	0.023902	0.121686	0.538055	0.096494	91.166	91.163
81	0.187559	True	AdamW weight_decay=1e-4	2026-03-23T02:51:39+01:00	ab112d08	0.06607	1.509468	1951	11750	0.024091	0.122651	0.54121	0.09706	91.15	91.147
105	0.160924	True	target normalization	2026-03-23T05:00:58+01:00	23447dae	0.054023	1.718475	1912	11750	0.012921	0.065782	0.528733	0.094822	91.023	91.02
107	0.160351	True	LR=3e-3 with target normalization	2026-03-23T05:11:45+01:00	b76f533b	0.049559	1.662857	1932	11750	0.012952	0.065942	0.52643	0.094409	91.035	91.033
116	0.160138	True	ensemble=12	2026-03-23T05:59:40+01:00	fe0bab7f	0.051839	1.61618	1911	11750	0.013116	0.066775	0.526322	0.09439	91.119	91.116
117	0.159865	True	ensemble=14	2026-03-23T06:04:54+01:00	005291c1	0.049889	1.5737	1982	11750	0.01311	0.066746	0.527801	0.094655	91.18	91.177
118	0.159727	True	ensemble=16	2026-03-23T06:10:06+01:00	e7c9ccba	0.049365	1.588142	1963	11750	0.013086	0.066624	0.526614	0.094442	91.364	91.361
130	0.159348	True	CUDA + ensemble=30	2026-03-23T07:15:52+01:00	26643f6a	0.048613	1.567635	2113	11750	0.013467	0.068564	0.528026	0.094695	91.909	91.578
132	0.158806	True	ensemble=40 with CUDA	2026-03-23T07:26:22+01:00	a2cd519f	0.053785	1.59317	1897	11750	0.013801	0.070262	0.523592	0.0939	92.132	91.876
136	0.158542	True	LR=4e-3 ensemble=40 CUDA	2026-03-23T07:47:19+01:00	98b09437	0.047618	1.599701	2179	11750	0.013534	0.068903	0.526772	0.094471	91.991	91.7
144	0.158108	True	electrode_thickness^2 feature	2026-03-23T08:31:47+01:00	b5579921	0.047453	1.551178	2442	11848	0.013121	0.066803	0.517303	0.092772	92.091	91.872
145	0.156423	True	add Bruggeman tortuosity feature (porosity^1.5)	2026-03-23T08:37:15+01:00	4949152c	0.047152	1.532608	2414	11946	0.013257	0.067493	0.520635	0.09337	91.798	91.517
146	0.155422	True	add et/porosity^1.5 corrected diffusion path feature	2026-03-23T08:42:42+01:00	3445217e	0.043821	1.58374	2241	12044	0.01304	0.066387	0.519763	0.093214	91.885	91.636
156	0.154679	True	add log(electrode_thickness) feature	2026-03-23T09:37:17+01:00	50d67ebb	0.044629	1.585632	2112	12142	0.013259	0.067501	0.52144	0.093514	91.965	91.675
162	0.154377	True	BATCH_SIZE=32	2026-03-23T10:10:28+01:00	c78c9072	0.04638	1.570541	952	12142	0.014076	0.071663	0.520763	0.093393	93.61	93.384
166	0.153365	True	HIDDEN_SIZE=80 with batch=32	2026-03-23T10:32:00+01:00	9b7efa82	0.048427	1.537163	927	8846	0.014378	0.073202	0.517499	0.092808	93.973	93.677
172	0.152272	True	LR=5e-3 with hidden=80, batch=32	2026-03-23T11:04:19+01:00	335e5563	0.047499	1.611076	960	8846	0.014074	0.071653	0.51766	0.092836	94.004	93.781
184	0.15166	True	ENSEMBLE_SIZE=30 (longer per-model training)	2026-03-23T12:09:55+01:00	c19c6612	0.048403	1.658981	938	8846	0.013872	0.070623	0.511123	0.091664	92.275	92.056
