experiment_id	primary_score	accepted	rmse_rate	rmse_temp	rmse_rate_norm	rmse_temp_norm	max_error_rate	max_error_temp	training_seconds	total_seconds	num_params	num_epochs
0	0.505664	1	0.141188	1.726159	0.396978	0.108687	0.849865	5.363510	301.236	301.269	29282	5093
1	0.656037	0	0.150736	3.688007	0.423823	0.232213	0.887709	9.703354	300.108	300.132	11042	14589
2	0.646618	0	0.148546	3.636214	0.417666	0.228952	0.815785	11.390762	300.121	300.144	20546	6784
3	0.720124	0	0.150167	4.731226	0.422224	0.297899	0.779086	10.771126	300.260	300.283	13890	4090
4	0.778714	0	0.157726	5.324201	0.443478	0.335236	0.832258	14.103088	300.026	300.049	70402	6964
5	0.638193	0	0.148127	3.521087	0.416489	0.221703	0.827458	10.038864	300.021	300.043	1346	31485
6	0.486000	1	0.146065	1.196045	0.410692	0.075308	0.880550	4.234703	300.091	300.115	1506	11246
7	0.889544	0	0.156076	7.158082	0.438839	0.450705	0.779459	16.056938	300.023	300.046	4098	17866
8	0.655048	0	0.147021	3.838203	0.413377	0.241671	0.805585	9.615364	300.392	300.415	40514	4429
9	0.656916	0	0.155354	3.495762	0.436807	0.220109	0.920348	9.693279	300.337	300.361	203010	4870
12	0.546199	0	0.146538	2.131038	0.412020	0.134180	0.882947	5.226326	300.162	300.194	79522	4080
16	0.511686	0	0.147290	1.549315	0.414135	0.097552	0.888908	5.228111	300.218	300.250	79522	4273
18	0.524648	0	0.148034	1.721927	0.416228	0.108420	0.916543	5.145348	300.139	300.171	18306	9016
21	0.508317	0	0.144336	1.627721	0.405828	0.102489	0.888397	4.873650	300.235	300.271	79522	3767
22	0.511298	0	0.146682	1.570288	0.412426	0.098872	0.906887	4.741554	300.136	300.169	113858	2598
23	0.506615	0	0.144968	1.572464	0.407605	0.099009	0.898258	4.909348	300.229	300.262	34818	5373
24	0.504828	0	0.148758	1.374826	0.418262	0.086565	0.917154	4.095383	300.265	300.298	34818	5687
26	0.496385	0	0.148692	1.243704	0.418076	0.078309	0.895163	6.565689	300.183	300.215	34818	6366
27	0.487276	0	0.148804	1.094044	0.418390	0.068886	0.889283	4.492081	300.253	300.286	103938	3128
28	0.484551	1	0.148791	1.051307	0.418356	0.066195	0.890359	5.423523	300.126	300.160	103938	15468
29	0.476551	1	0.148378	0.942702	0.417195	0.059357	0.888937	2.658043	300.080	300.115	53538	24321
31	0.475112	1	0.149123	0.886595	0.419288	0.055824	0.887656	2.820541	300.065	300.097	53538	24266
32	0.474026	1	0.148551	0.894886	0.417680	0.056346	0.888141	3.194382	300.074	300.107	53538	24325
33	0.475073	0	0.148953	0.893541	0.418812	0.056261	0.889682	3.147034	300.071	300.104	53538	24026
34	0.484059	0	0.150678	0.959253	0.423660	0.060399	0.911022	3.697380	300.082	300.116	53538	24280
37	0.472076	1	0.147903	0.892850	0.415858	0.056218	0.890382	3.077477	300.106	300.139	69378	21953
41	0.474097	0	0.148765	0.886447	0.418282	0.055815	0.889623	2.677994	300.106	300.141	53538	24325
42	0.484259	0	0.148622	1.054219	0.417881	0.066378	0.887500	4.336617	300.071	300.104	53538	23940
43	0.478625	0	0.148450	0.972418	0.417398	0.061228	0.905009	3.336365	300.150	300.184	39746	10505
44	0.480382	0	0.149744	0.942544	0.421035	0.059347	0.894997	3.320923	300.087	300.120	69378	21887
45	0.482505	0	0.149931	0.967940	0.421560	0.060946	0.912240	3.785477	300.072	300.106	53538	24582
47	0.474272	0	0.150290	0.821111	0.422571	0.051701	0.906707	2.970177	300.062	300.094	39746	26925
48	0.494999	0	0.148891	1.212785	0.418637	0.076362	0.912505	3.987556	300.122	300.156	39746	10266
51	0.503170	0	0.145051	1.514012	0.407841	0.095329	0.896039	5.259689	300.063	300.098	53538	22756
52	0.480079	0	0.149873	0.931955	0.421399	0.058680	0.901649	3.043663	300.089	300.123	69378	21044
53	0.475664	0	0.148642	0.916853	0.417935	0.057729	0.886080	3.540421	300.087	300.122	53538	24025
58	0.524158	0	0.147632	1.732102	0.415097	0.109061	0.901609	6.826324	300.216	300.250	69378	7091
60	0.471798	1	0.149316	0.825305	0.419833	0.051965	0.900991	3.015785	300.038	300.074	28002	34522
61	0.464909	1	0.147674	0.789236	0.415215	0.049694	0.907570	2.543159	300.040	300.074	28002	38131
62	0.471140	0	0.149289	0.816065	0.419757	0.051383	0.913666	2.714401	300.051	300.087	28002	34719
63	0.481607	0	0.148648	1.010954	0.417953	0.063654	0.903927	3.734726	300.024	300.058	28002	38413
64	0.474990	0	0.150320	0.831207	0.422653	0.052337	0.908253	3.195732	300.056	300.091	28002	33833
65	0.466539	0	0.148334	0.785661	0.417070	0.049469	0.895700	2.678749	300.049	300.084	28002	35731
66	0.489568	0	0.151485	1.010671	0.425931	0.063636	0.906105	5.158981	300.042	300.076	53762	26387
67	0.474963	0	0.148980	0.890584	0.418887	0.056075	0.899933	2.948563	300.063	300.098	10658	27135
68	0.480144	0	0.151002	0.882567	0.424573	0.055570	0.910146	3.294083	300.032	300.066	18306	34563
69	0.485998	0	0.152712	0.899221	0.429379	0.056619	0.895806	4.741722	300.072	300.106	53762	24487
70	0.488475	0	0.151775	0.980367	0.426747	0.061728	0.913018	3.213593	300.034	300.070	28002	35140
71	0.464908	1	0.147480	0.797879	0.414670	0.050238	0.900881	2.803001	300.036	300.070	28002	34841
72	0.483603	0	0.151728	0.905094	0.426614	0.056989	0.911269	3.652435	300.052	300.086	28002	35586
73	0.473264	0	0.150281	0.805543	0.422543	0.050721	0.902187	2.797134	300.047	300.083	18306	42278
74	0.475036	0	0.149485	0.869195	0.420307	0.054728	0.905371	3.108063	300.030	300.065	18306	41706
75	0.485455	0	0.153248	0.866671	0.430886	0.054569	0.912641	2.898338	300.045	300.080	18306	35646
80	0.481387	0	0.150230	0.936799	0.422402	0.058985	0.904038	5.094513	300.034	300.068	53762	26128
81	0.478582	0	0.151950	0.815449	0.427237	0.051344	0.915502	2.807220	300.034	300.070	18306	36868
84	0.503081	0	0.144927	1.518150	0.407491	0.095590	0.889606	5.571396	300.034	300.069	18306	38211
86	0.492334	0	0.146979	1.255842	0.413261	0.079073	0.921780	4.890038	300.048	300.084	10658	30499
87	0.463430	1	0.145225	0.875109	0.408329	0.055101	0.883217	3.677208	300.012	300.049	39746	28935
90	0.477948	0	0.145287	1.102915	0.408504	0.069444	0.887858	3.972740	300.009	300.044	18306	16543
92	0.471203	0	0.148275	0.862374	0.416904	0.054299	0.903854	3.198669	300.015	300.051	28002	38310
94	0.484122	0	0.149963	0.992160	0.421652	0.062471	0.911754	3.383400	300.015	300.050	28002	35484
95	0.472147	0	0.148813	0.853320	0.418418	0.053729	0.889642	2.643272	300.006	300.041	39746	28052
96	0.497863	0	0.152690	1.088636	0.429317	0.068545	0.910677	4.993179	300.013	300.048	28002	37610
98	0.490986	0	0.152245	0.999289	0.428067	0.062920	0.907658	3.991730	300.013	300.048	18306	42353
100	0.494754	0	0.153817	0.988918	0.432488	0.062267	0.926254	4.009712	300.035	300.069	28002	38201
102	0.470903	0	0.147142	0.908208	0.413718	0.057185	0.898531	3.220795	300.029	300.064	39746	28372
103	0.478250	0	0.150865	0.858612	0.424188	0.054062	0.919143	2.873520	300.023	300.059	39746	28318
104	0.480390	0	0.152934	0.800226	0.430004	0.050386	0.906971	2.655312	300.016	300.053	39746	28499
106	0.499562	0	0.142831	1.555874	0.401597	0.097965	0.884077	6.040550	300.045	300.080	39746	18224
111	0.471725	0	0.151138	0.742791	0.424955	0.046769	0.911156	2.623184	300.047	300.085	39746	29068
112	0.470999	0	0.150554	0.757374	0.423312	0.047688	0.906638	2.379440	300.036	300.075	39746	29335
113	0.477695	0	0.150353	0.872685	0.422747	0.054948	0.902821	3.161995	300.047	300.083	39746	29336
115	0.478695	0	0.151267	0.847765	0.425316	0.053379	0.911406	2.884239	300.047	300.085	39746	29537
116	0.475108	0	0.150192	0.838763	0.422296	0.052812	0.913355	2.772377	300.057	300.095	39746	28936
117	0.478178	0	0.147972	0.986654	0.416053	0.062124	0.912277	2.585846	300.131	300.171	28002	11689
118	0.472106	0	0.150738	0.766728	0.423829	0.048277	0.913079	2.636177	300.034	300.071	28002	33727
120	0.473318	0	0.149440	0.843957	0.420179	0.053139	0.901671	2.709465	300.047	300.083	28002	34207
122	0.476159	0	0.151886	0.779829	0.427057	0.049102	0.905669	2.846443	300.037	300.074	28002	37510
123	0.479705	0	0.152304	0.817486	0.428232	0.051473	0.896415	2.989120	300.066	300.103	39746	27631
124	0.466873	0	0.147213	0.841041	0.413917	0.052956	0.910943	3.768784	300.031	300.067	28002	40502
126	0.503503	0	0.144253	1.554964	0.405596	0.097908	0.896283	5.776207	300.035	300.073	28002	38089
129	0.475570	0	0.146841	0.995751	0.412873	0.062697	0.920968	3.043396	300.115	300.151	28002	8358
130	0.480495	0	0.151412	0.869843	0.425726	0.054769	0.904493	2.929848	300.064	300.102	28002	25650
131	0.474451	0	0.150680	0.806540	0.423668	0.050783	0.906296	2.259697	300.014	300.052	39746	28200
132	0.476593	0	0.150646	0.842098	0.423570	0.053022	0.909693	3.205269	300.047	300.084	39746	29297
134	0.471932	0	0.148779	0.851442	0.418321	0.053611	0.910106	2.837685	300.058	300.094	39746	29064
136	0.472000	0	0.148595	0.860708	0.417806	0.054194	0.901037	3.040642	300.053	300.091	53538	26996
140	0.488124	0	0.146894	1.192782	0.413021	0.075103	0.920427	4.066650	300.148	300.185	39746	11817
141	0.473910	0	0.149947	0.830700	0.421606	0.052305	0.915742	2.973557	300.033	300.072	39746	28557
142	0.476563	0	0.149737	0.882184	0.421016	0.055546	0.907110	3.179893	300.051	300.090	53538	25939
144	0.480734	0	0.152131	0.841538	0.427747	0.052987	0.907940	3.091255	300.030	300.067	28002	38203
146	0.472271	0	0.148127	0.885941	0.416489	0.055783	0.905675	2.917107	300.056	300.095	39746	28812
151	0.502346	0	0.152640	1.162077	0.429176	0.073170	0.919393	4.119141	300.014	300.052	39746	29250
153	0.470012	0	0.146762	0.911009	0.412651	0.057361	0.895117	2.468811	300.004	300.043	39746	28730
154	0.498974	0	0.151965	1.138642	0.427280	0.071694	0.910702	5.382156	300.011	300.049	39746	29140
157	0.507906	0	0.155899	1.104847	0.438340	0.069566	0.924715	3.986679	300.005	300.043	53538	25309
163	0.476978	0	0.150286	0.864269	0.422560	0.054418	0.914833	2.655708	300.084	300.122	39746	27046
165	0.476970	0	0.149032	0.920164	0.419032	0.057938	0.911104	3.109978	300.051	300.088	28002	23324
170	0.485245	0	0.149125	1.047418	0.419295	0.065950	0.906593	4.826355	300.037	300.076	39746	11945
171	0.472275	0	0.148583	0.865654	0.417770	0.054505	0.906400	2.720657	300.067	300.106	39746	28186
172	0.479161	0	0.152599	0.795646	0.429064	0.050097	0.900853	2.896164	300.052	300.092	39746	29081
173	0.472513	0	0.148559	0.870509	0.417702	0.054811	0.906656	2.823593	300.064	300.103	39746	29807
174	0.474189	0	0.149074	0.874095	0.419152	0.055037	0.911741	2.805649	300.045	300.085	28002	35011
178	0.487078	0	0.151596	0.966196	0.426242	0.060836	0.906629	4.065521	300.099	300.137	200962	10839
180	0.502671	0	0.144401	1.535135	0.406012	0.096659	0.892506	5.644318	300.070	300.108	39746	26256
181	0.468707	0	0.148300	0.821622	0.416974	0.051733	0.904937	2.844002	300.073	300.112	39746	26012
182	0.472670	0	0.149224	0.843302	0.419572	0.053098	0.907513	3.031425	300.067	300.108	39746	26041
184	0.474621	0	0.148875	0.889862	0.418591	0.056030	0.904628	3.615273	300.067	300.106	39746	26385
190	0.497987	0	0.148482	1.278493	0.417488	0.080500	0.926314	3.989853	300.028	300.067	39746	6519
191	0.466506	0	0.148072	0.796853	0.416333	0.050173	0.907485	2.546730	300.050	300.088	39746	30159
194	0.477673	0	0.151145	0.836959	0.424974	0.052699	0.911129	3.006371	300.066	300.105	39746	28421
199	0.487345	0	0.148489	1.109166	0.417506	0.069838	0.892080	4.121811	300.014	300.063	53538	26434
