experiment_id	primary_score	accepted	rmse_rate	rmse_temp	rmse_rate_norm	rmse_temp_norm	max_error_rate	max_error_temp	training_seconds	total_seconds	num_params	num_epochs
0	0.384460	1	0.099090	1.599970	0.282417	0.102043	0.776348	5.485914	301.257	301.288	29282	1114
1	0.462214	0	0.098344	2.852430	0.280291	0.181923	0.706884	10.004532	300.653	300.676	11042	2524
2	0.358533	1	0.095378	1.359306	0.271839	0.086694	0.763822	5.486984	300.363	300.386	20546	1697
3	0.526554	0	0.106368	3.502661	0.303161	0.223393	0.719720	11.330254	301.993	302.016	13890	712
4	0.423996	0	0.103615	2.017628	0.295315	0.128681	0.864972	8.644814	300.138	300.161	70402	1397
5	0.519398	0	0.111773	3.148910	0.318566	0.200832	0.692499	10.237740	300.075	300.099	1346	6092
6	0.328370	1	0.101396	0.617463	0.288989	0.039381	0.848739	2.514709	300.381	300.404	1506	2237
7	0.673408	0	0.115003	5.419362	0.327771	0.345637	0.685449	15.067719	300.030	300.053	4098	3068
8	0.473913	0	0.100957	2.919091	0.287738	0.186174	0.708445	10.585724	301.275	301.301	40514	914
9	0.365964	0	0.098424	1.339694	0.280521	0.085443	0.764774	5.897385	301.238	301.263	203010	1170
12	0.330503	0	0.099354	0.742147	0.283171	0.047333	0.825206	2.677078	300.137	300.168	53762	4924
14	0.333793	0	0.103257	0.619329	0.294293	0.039500	0.865064	2.813156	300.252	300.283	76802	3838
16	0.334283	0	0.096494	0.929238	0.275018	0.059265	0.808342	4.447220	300.539	300.571	18306	1713
18	0.318575	1	0.098433	0.596301	0.280544	0.038031	0.864455	3.070671	300.396	300.429	18306	1600
21	0.321003	0	0.096815	0.706657	0.275934	0.045069	0.814067	2.791878	300.550	300.583	18306	1718
22	0.312201	1	0.096510	0.582286	0.275064	0.037137	0.818208	2.663551	300.779	300.811	18306	1592
23	0.318980	0	0.097367	0.650269	0.277507	0.041473	0.823795	2.674133	300.629	300.662	18306	1708
24	0.308068	1	0.097419	0.476846	0.277656	0.030412	0.825135	2.424927	300.470	300.502	1794	3096
