timestamp,gpu_index,power_draw_w,gpu_util_pct,memory_used_mb,memory_total_mb,temperature_c
2026-03-27T09:09:42.435Z,0,117.19,5,4427,24576,44
2026-03-27T09:09:47.468Z,0,346.85,76,4403,24576,64
2026-03-27T09:09:52.499Z,0,306.3,75,4407,24576,73
2026-03-27T09:09:57.532Z,0,340.03,80,4463,24576,82
2026-03-27T09:10:02.566Z,0,316.45,75,4415,24576,82
2026-03-29T23:33:43.697Z,0,120.75,49,4705,24576,39
2026-03-29T23:33:48.730Z,0,299.22,72,4707,24576,49
2026-03-29T23:33:53.763Z,0,253.59,74,4707,24576,50
2026-03-29T23:33:58.796Z,0,299.48,77,4707,24576,50
2026-03-29T23:34:03.829Z,0,298.64,72,4707,24576,51
2026-03-29T23:34:08.862Z,0,256.52,74,4709,24576,50
2026-03-29T23:34:13.896Z,0,299.69,77,4709,24576,51
2026-03-29T23:34:18.932Z,0,298.82,73,4709,24576,51
2026-03-29T23:34:23.966Z,0,299.07,77,4709,24576,52
2026-03-29T23:34:29.000Z,0,297.48,75,4709,24576,52
2026-03-29T23:34:34.035Z,0,299.53,78,4709,24576,52
2026-03-29T23:34:39.070Z,0,298.52,78,4709,24576,52
2026-03-29T23:34:44.104Z,0,258.18,66,4709,24576,51
2026-03-29T23:34:49.136Z,0,139.85,1,4709,24576,43
2026-03-29T23:34:54.167Z,0,119.12,1,4709,24576,39
2026-03-29T23:34:59.197Z,0,118.13,1,4709,24576,37
2026-03-29T23:35:04.231Z,0,298.9,78,4709,24576,45
2026-03-29T23:35:09.263Z,0,117.69,0,4709,24576,36
2026-03-29T23:35:14.298Z,0,299.47,77,4709,24576,44
2026-03-29T23:35:19.332Z,0,258.45,0,4709,24576,41
2026-03-29T23:35:24.366Z,0,299.16,75,4711,24576,46
2026-03-29T23:35:29.399Z,0,299.55,74,4711,24576,47
2026-03-29T23:35:34.430Z,0,291.94,75,4711,24576,45
2026-03-29T23:35:39.464Z,0,291.25,76,4711,24576,47
2026-03-29T23:35:44.497Z,0,299.07,75,4711,24576,49
2026-03-29T23:35:49.531Z,0,298.77,74,4711,24576,49
2026-03-29T23:35:54.564Z,0,297.88,72,4711,24576,49
2026-03-29T23:35:59.598Z,0,298.47,72,4711,24576,50
2026-03-29T23:36:04.633Z,0,299.66,78,4711,24576,50
2026-03-29T23:36:09.668Z,0,299.48,74,4711,24576,50
2026-03-29T23:36:14.702Z,0,272.53,65,4711,24576,50
2026-03-29T23:36:19.736Z,0,299.04,78,4711,24576,50
2026-03-29T23:36:24.769Z,0,291.86,77,4711,24576,51
2026-03-29T23:36:29.804Z,0,297.99,77,4711,24576,50
2026-03-29T23:36:34.838Z,0,299.24,78,4711,24576,51
2026-03-29T23:36:39.873Z,0,298.83,71,4711,24576,50
2026-03-29T23:36:44.905Z,0,275.7,73,4711,24576,51
2026-03-29T23:36:49.938Z,0,297.93,77,4711,24576,50
2026-03-29T23:36:54.972Z,0,298.98,73,4711,24576,51
2026-03-29T23:37:00.007Z,0,298.9,78,4711,24576,51
2026-03-29T23:37:05.042Z,0,299.63,77,4711,24576,51
2026-03-29T23:37:10.074Z,0,299.06,73,4711,24576,51
2026-03-29T23:37:15.109Z,0,272.05,73,4711,24576,51
2026-03-29T23:37:20.143Z,0,292.02,75,4711,24576,51
2026-03-29T23:37:25.176Z,0,299.04,76,4711,24576,51
2026-03-29T23:37:30.207Z,0,278.32,75,4711,24576,51
2026-03-29T23:37:35.243Z,0,298.15,77,4711,24576,51
2026-03-29T23:37:40.276Z,0,299.23,72,4711,24576,51
2026-03-29T23:37:45.310Z,0,254.23,0,4711,24576,47
2026-03-29T23:37:50.344Z,0,298.88,77,4711,24576,51
2026-03-29T23:37:55.378Z,0,299.39,78,4711,24576,52
2026-03-29T23:38:00.413Z,0,257.91,100,4711,24576,51
2026-03-29T23:38:05.447Z,0,258.68,72,4711,24576,51
2026-03-29T23:38:10.482Z,0,297.46,77,4711,24576,51
2026-03-29T23:38:15.516Z,0,298.49,74,4711,24576,52
2026-03-29T23:38:20.552Z,0,299.23,77,4711,24576,52
2026-03-29T23:38:25.585Z,0,254.46,100,4711,24576,51
2026-03-29T23:38:30.618Z,0,291.46,79,4711,24576,52
2026-03-29T23:38:35.651Z,0,298.32,77,4711,24576,52
2026-03-29T23:38:40.687Z,0,255.45,77,4711,24576,47
2026-03-29T23:38:45.720Z,0,256.58,77,4711,24576,51
2026-03-29T23:38:50.753Z,0,253.88,72,4711,24576,51
2026-03-29T23:38:55.789Z,0,298.6,76,4711,24576,52
2026-03-29T23:39:00.823Z,0,298.77,74,4711,24576,52
2026-03-29T23:39:05.859Z,0,260.26,78,4711,24576,52
2026-03-29T23:39:10.891Z,0,299.39,77,4711,24576,51
2026-03-29T23:39:15.925Z,0,298.7,78,4711,24576,52
2026-03-29T23:39:20.959Z,0,254.67,76,4711,24576,51
2026-03-29T23:39:25.991Z,0,298.82,74,4711,24576,52
2026-03-29T23:39:31.027Z,0,298.71,76,4711,24576,51
2026-03-29T23:39:36.058Z,0,286.01,74,4711,24576,51
2026-03-29T23:39:41.092Z,0,298.99,78,4711,24576,51
2026-03-29T23:39:46.122Z,0,294.89,73,4711,24576,52
2026-03-29T23:39:51.157Z,0,294.38,77,4711,24576,51
2026-03-29T23:39:56.192Z,0,299.49,78,4711,24576,51
2026-03-29T23:40:01.226Z,0,299.23,76,4711,24576,52
2026-03-29T23:40:06.260Z,0,261.7,0,4711,24576,48
2026-03-29T23:40:11.294Z,0,298.72,77,4711,24576,52
2026-03-29T23:40:16.332Z,0,298.77,76,4711,24576,52
2026-03-29T23:40:21.367Z,0,261.63,76,4711,24576,51
2026-03-29T23:40:26.400Z,0,298.89,75,4711,24576,52
2026-03-29T23:40:31.436Z,0,298.74,73,4711,24576,52
2026-03-29T23:40:36.467Z,0,267.35,76,4711,24576,48
2026-03-29T23:40:41.503Z,0,299.07,78,4711,24576,52
2026-03-29T23:40:46.536Z,0,299.42,77,4711,24576,52
2026-03-29T23:40:51.570Z,0,299.24,72,4711,24576,52
2026-03-29T23:40:56.603Z,0,261.35,74,4711,24576,49
2026-03-29T23:41:01.638Z,0,259.82,75,4711,24576,51
2026-03-29T23:41:06.672Z,0,262.28,8,4711,24576,52
2026-03-29T23:41:11.706Z,0,298.86,77,4711,24576,52
2026-03-29T23:41:16.740Z,0,299.07,77,4711,24576,52
2026-03-29T23:41:21.774Z,0,299.45,74,4711,24576,52
2026-03-29T23:41:26.808Z,0,260.38,74,4711,24576,52
2026-03-29T23:41:31.843Z,0,251.96,75,4711,24576,52
2026-03-29T23:41:36.877Z,0,298.99,100,4711,24576,52
2026-03-29T23:41:41.911Z,0,296.67,54,4711,24576,52
2026-03-29T23:41:46.946Z,0,299.02,76,4711,24576,52
2026-03-29T23:41:51.980Z,0,298.73,77,4711,24576,52
2026-03-29T23:41:57.014Z,0,255.69,7,4711,24576,47
2026-03-29T23:42:02.048Z,0,255.62,73,4711,24576,52
2026-03-29T23:42:07.082Z,0,258.23,72,4711,24576,52
2026-03-29T23:42:12.116Z,0,299.14,74,4711,24576,51
2026-03-29T23:42:17.148Z,0,298.49,73,4711,24576,52
2026-03-29T23:42:22.183Z,0,256.7,75,4711,24576,52
2026-03-29T23:42:27.217Z,0,282.17,76,4711,24576,52
2026-03-29T23:42:32.251Z,0,297.89,77,4711,24576,52
2026-03-29T23:42:37.285Z,0,298.56,75,4711,24576,52
2026-03-29T23:42:42.316Z,0,299.13,76,4711,24576,52
2026-03-29T23:42:47.349Z,0,298.5,76,4711,24576,52
2026-03-29T23:42:52.382Z,0,299.46,74,4711,24576,51
2026-03-29T23:42:57.416Z,0,261.3,0,4711,24576,48
2026-03-29T23:43:02.451Z,0,254.22,0,4711,24576,52
2026-03-29T23:43:07.486Z,0,299.32,76,4711,24576,52
2026-03-29T23:43:12.519Z,0,258.07,0,4711,24576,52
2026-03-29T23:43:17.553Z,0,297.92,78,4711,24576,52
2026-03-29T23:43:22.585Z,0,298.52,76,4711,24576,52
2026-03-29T23:43:27.619Z,0,299.7,76,4711,24576,52
2026-03-29T23:43:32.654Z,0,298.97,78,4711,24576,52
2026-03-29T23:43:37.689Z,0,299.27,76,4711,24576,52
2026-03-29T23:43:42.723Z,0,274.96,71,4711,24576,52
2026-03-29T23:43:47.757Z,0,298.5,74,4711,24576,52
2026-03-29T23:43:52.789Z,0,258.6,77,4711,24576,51
2026-03-29T23:43:57.824Z,0,296.6,72,4711,24576,52
2026-03-29T23:44:02.856Z,0,269.64,76,4711,24576,52
2026-03-29T23:44:07.889Z,0,256.89,76,4711,24576,50
2026-03-29T23:44:12.925Z,0,299.79,76,4711,24576,52
2026-03-29T23:44:17.958Z,0,298.74,72,4711,24576,52
2026-03-29T23:44:22.993Z,0,298.79,78,4711,24576,52
2026-03-29T23:44:28.022Z,0,267.72,0,4711,24576,48
2026-03-29T23:44:33.057Z,0,255.12,0,4711,24576,47
2026-03-29T23:44:38.090Z,0,296.2,76,4711,24576,52
2026-03-29T23:44:43.124Z,0,299.51,74,4711,24576,52
2026-03-29T23:44:48.158Z,0,299.08,75,4711,24576,52
2026-03-29T23:44:53.190Z,0,290.2,76,4711,24576,52
2026-03-29T23:44:58.224Z,0,298.86,76,4711,24576,52
2026-03-29T23:45:03.258Z,0,299.31,75,4711,24576,52
2026-03-29T23:45:08.292Z,0,281.19,77,4711,24576,52
2026-03-29T23:45:13.326Z,0,253.05,67,4711,24576,50
2026-03-29T23:45:18.360Z,0,298.94,77,4711,24576,52
2026-03-29T23:45:23.394Z,0,299.3,78,4711,24576,52
2026-03-29T23:45:28.427Z,0,298.92,78,4711,24576,52
2026-03-29T23:45:33.459Z,0,255.28,1,4711,24576,51
2026-03-29T23:45:38.493Z,0,298.05,77,4711,24576,52
2026-03-29T23:45:43.527Z,0,299.42,77,4711,24576,52
2026-03-29T23:45:48.561Z,0,299.23,74,4711,24576,52
2026-03-29T23:45:53.595Z,0,256.65,8,4711,24576,52
2026-03-29T23:45:58.627Z,0,298.94,77,4711,24576,52
2026-03-29T23:46:03.661Z,0,302.94,79,4711,24576,52
2026-03-29T23:46:08.695Z,0,299.62,78,4711,24576,52
2026-03-29T23:46:13.729Z,0,299.03,74,4711,24576,52
2026-03-29T23:46:18.764Z,0,298.93,75,4711,24576,52
2026-03-29T23:46:23.796Z,0,271.49,75,4711,24576,52
2026-03-29T23:46:28.836Z,0,298.91,72,4711,24576,52
2026-03-29T23:46:33.871Z,0,298.69,77,4711,24576,52
2026-03-29T23:46:38.908Z,0,299.55,78,4711,24576,52
2026-03-29T23:46:43.939Z,0,258.16,74,4711,24576,52
2026-03-29T23:46:48.974Z,0,257.83,76,4711,24576,52
2026-03-29T23:46:54.009Z,0,298.98,77,4711,24576,52
2026-03-29T23:46:59.043Z,0,299.46,77,4711,24576,52
2026-03-29T23:47:04.076Z,0,263.52,100,4711,24576,51
2026-03-29T23:47:09.110Z,0,255.76,72,4711,24576,51
2026-03-29T23:47:14.144Z,0,299.78,77,4711,24576,52
2026-03-29T23:47:19.178Z,0,286.56,55,4711,24576,52
2026-03-29T23:47:24.212Z,0,298.68,78,4711,24576,52
2026-03-29T23:47:29.244Z,0,263.43,75,4711,24576,52
2026-03-29T23:47:34.277Z,0,292.92,73,4711,24576,52
2026-03-29T23:47:39.311Z,0,299.32,78,4711,24576,51
2026-03-29T23:47:44.342Z,0,299.42,73,4711,24576,52
2026-03-29T23:47:49.377Z,0,299.04,75,4711,24576,52
2026-03-29T23:47:54.411Z,0,298.43,74,4711,24576,52
2026-03-29T23:47:59.445Z,0,260.26,100,4711,24576,51
2026-03-29T23:48:04.480Z,0,298.72,77,4711,24576,52
2026-03-29T23:48:09.514Z,0,297.46,77,4711,24576,52
2026-03-29T23:48:14.546Z,0,274.49,74,4711,24576,49
2026-03-29T23:48:19.579Z,0,282.57,77,4711,24576,51
2026-03-29T23:48:24.614Z,0,262.08,64,4711,24576,52
2026-03-29T23:48:29.647Z,0,297.82,76,4711,24576,52
2026-03-29T23:48:34.680Z,0,299.02,77,4711,24576,52
2026-03-29T23:48:39.712Z,0,299.62,76,4711,24576,52
2026-03-29T23:48:44.745Z,0,298.22,74,4711,24576,52
2026-03-29T23:48:49.777Z,0,289.89,73,4711,24576,52
2026-03-29T23:48:54.810Z,0,299.39,74,4711,24576,52
2026-03-29T23:48:59.845Z,0,261.33,74,4711,24576,52
2026-03-29T23:49:04.877Z,0,254.93,75,4711,24576,48
2026-03-29T23:49:09.912Z,0,255.06,75,4711,24576,51
2026-03-29T23:49:14.947Z,0,298.95,77,4711,24576,52
2026-03-29T23:49:19.980Z,0,298.77,76,4711,24576,52
2026-03-29T23:49:25.015Z,0,298.46,75,4711,24576,52
2026-03-29T23:49:30.049Z,0,298.83,77,4711,24576,52
2026-03-29T23:49:35.083Z,0,261.97,71,4711,24576,52
2026-03-29T23:49:40.116Z,0,302.35,75,4711,24576,51
2026-03-29T23:49:45.151Z,0,299.29,74,4711,24576,52
2026-03-29T23:49:50.186Z,0,299.41,74,4711,24576,52
2026-03-29T23:49:55.219Z,0,257.08,72,4711,24576,51
2026-03-29T23:50:00.253Z,0,299.75,77,4711,24576,52
2026-03-29T23:50:05.288Z,0,292.51,77,4711,24576,52
2026-03-29T23:50:10.322Z,0,267.11,72,4711,24576,51
2026-03-29T23:50:15.355Z,0,300.65,78,4711,24576,52
2026-03-29T23:50:20.390Z,0,299.54,73,4711,24576,52
2026-03-29T23:50:25.424Z,0,298.88,75,4711,24576,52
2026-03-29T23:50:30.457Z,0,255.37,0,4711,24576,51
2026-03-29T23:50:35.492Z,0,275.9,75,4711,24576,52
2026-03-29T23:50:40.526Z,0,299.04,72,4711,24576,52
2026-03-29T23:50:45.559Z,0,259.33,75,4711,24576,49
2026-03-29T23:50:50.594Z,0,298.62,76,4711,24576,52
2026-03-29T23:50:55.628Z,0,298.74,76,4711,24576,52
2026-03-29T23:51:00.662Z,0,298.81,77,4711,24576,52
2026-03-29T23:51:05.695Z,0,298.49,74,4711,24576,52
2026-03-29T23:51:10.727Z,0,261.41,75,4711,24576,47
2026-03-29T23:51:15.761Z,0,261.08,0,4711,24576,51
