timestamp,gpu_index,power_draw_w,gpu_util_pct,memory_used_mb,memory_total_mb,temperature_c
2026-03-27T09:08:37.667Z,0,274.7,85,7013,24576,82
2026-03-27T09:08:42.699Z,0,313.57,86,7013,24576,82
2026-03-27T09:08:47.733Z,0,319.39,78,7016,24576,81
2026-03-27T09:08:52.766Z,0,315.12,100,7013,24576,82
2026-03-27T09:08:57.797Z,0,314.83,2,7013,24576,82
2026-03-27T09:09:02.832Z,0,320.53,58,7015,24576,80
2026-03-27T09:09:07.866Z,0,298.05,84,7015,24576,78
2026-03-29T22:20:16.353Z,0,264.45,84,7343,24576,51
2026-03-29T22:20:21.387Z,0,252.13,86,7343,24576,51
2026-03-29T22:20:26.420Z,0,257.11,86,7343,24576,49
2026-03-29T22:20:31.453Z,0,299.25,84,7343,24576,53
2026-03-29T22:20:36.487Z,0,299.52,85,7343,24576,53
2026-03-29T22:20:41.520Z,0,298.38,87,7343,24576,53
2026-03-29T22:20:46.554Z,0,299.8,83,7343,24576,53
2026-03-29T22:20:51.588Z,0,298.54,86,7343,24576,53
2026-03-29T22:20:56.623Z,0,297.37,86,7343,24576,53
2026-03-29T22:21:01.656Z,0,299.81,84,7343,24576,53
2026-03-29T22:21:06.690Z,0,299.48,87,7343,24576,53
2026-03-29T22:21:11.724Z,0,300.01,86,7343,24576,53
2026-03-29T22:21:16.756Z,0,299.56,84,7343,24576,53
2026-03-29T22:21:21.790Z,0,256.15,0,7343,24576,48
2026-03-29T22:21:26.826Z,0,299.29,86,7343,24576,53
2026-03-29T22:21:31.859Z,0,299.44,84,7343,24576,53
2026-03-29T22:21:36.892Z,0,300.25,87,7343,24576,52
2026-03-29T22:21:41.926Z,0,299.44,87,7343,24576,53
2026-03-29T22:21:46.957Z,0,298.72,84,7343,24576,53
2026-03-29T22:21:51.991Z,0,298.01,86,7343,24576,53
2026-03-29T22:21:57.026Z,0,254.88,54,7343,24576,48
2026-03-29T22:22:02.059Z,0,299.55,86,7343,24576,53
2026-03-29T22:22:07.093Z,0,299.23,87,7343,24576,53
2026-03-29T22:22:12.126Z,0,299.25,85,7343,24576,53
2026-03-29T22:22:17.161Z,0,299.68,87,7343,24576,53
2026-03-29T22:22:22.194Z,0,298.59,84,7343,24576,53
2026-03-29T22:22:27.228Z,0,298.91,86,7343,24576,53
2026-03-29T22:22:32.262Z,0,299.06,85,7343,24576,53
2026-03-29T22:22:37.296Z,0,299.11,87,7343,24576,53
2026-03-29T22:22:42.331Z,0,298.53,84,7343,24576,53
2026-03-29T22:22:47.366Z,0,298.9,84,7343,24576,53
2026-03-29T22:22:52.401Z,0,299.52,85,7343,24576,53
2026-03-29T22:22:57.435Z,0,299.79,87,7343,24576,53
2026-03-29T22:23:02.468Z,0,297.24,87,7343,24576,53
2026-03-29T22:23:07.502Z,0,296.43,85,7343,24576,53
2026-03-29T22:23:12.536Z,0,299.51,84,7343,24576,53
2026-03-29T22:23:17.569Z,0,299.34,85,7343,24576,53
2026-03-29T22:23:22.603Z,0,299.82,85,7343,24576,53
2026-03-29T22:23:27.642Z,0,299.07,83,7410,24576,53
2026-03-29T22:23:32.676Z,0,299.47,84,7391,24576,53
2026-03-29T22:23:37.709Z,0,300.0,87,7391,24576,53
2026-03-29T22:23:42.743Z,0,299.24,85,7391,24576,53
2026-03-29T22:23:47.777Z,0,299.57,85,7391,24576,53
2026-03-29T22:23:52.810Z,0,299.54,84,7391,24576,53
2026-03-29T22:23:57.843Z,0,299.7,86,7391,24576,53
2026-03-29T22:24:02.877Z,0,299.8,86,7391,24576,53
2026-03-29T22:24:07.911Z,0,258.11,86,7391,24576,53
2026-03-29T22:24:12.946Z,0,299.45,86,7391,24576,53
2026-03-29T22:24:17.980Z,0,299.62,85,7391,24576,53
2026-03-29T22:24:23.014Z,0,299.35,86,7391,24576,53
2026-03-29T22:24:28.047Z,0,299.29,87,7391,24576,53
2026-03-29T22:24:33.081Z,0,267.25,85,7391,24576,53
2026-03-29T22:24:38.116Z,0,298.93,87,7391,24576,53
